id,smiles_string
1,O[C@H]1[C@H]2[C@H]3O[C@H]4[C@@H]1N2[C@@H]34
2,[NH][C]1N=CC=NC=N1
3,C[C@@]12C[C@H]3C[C@@H]1C(=O)[C@@H]23
4,Nc1n[nH]c2c1ocn2
5,N#C[C@H]1N[C@H]1C1CC1
6,CC(=O)C#CC(=O)C#N
7,CC1=CC[C@]2(N[C@@H]12)C#C
8,CN1[C@H]2CCOC[C@@]12C
9,O[C@]12C[C@H]1N=CN[C]2[NH]
10,C[C@@H](O)[C@H]1OCC(=C1)C
11,C[C@@H](N)CNC(=O)C#N
12,C[C@@]12C[C@@]3(C#N)[C@@H]1CN23
13,C1C[C@H]2O[C@@H]12
14,O=c1[nH]c(=O)cco1
15,CC1=CC=CCOC1
16,CC[C@H]1CO[C@]1(C)CC
17,CC1=C[C@H]2[C@@H](C1)[C@H]2C=O
18,CO[C@H]1CN2[C@H]3C[C@H]3[C@@H]12
19,COCCOCCCO
20,O[C@H]1[C@H]2[C]([NH])N[C@@]12C#N
21,CC(C)N[C@@H](C)C(=O)O
22,C[C@H]1[C@H]2C=C[C@]31CCN23
23,C[C@@H](O[C]([NH])C=O)C#C
24,O=C1[C@H]2O[C@@H]3[C@H]2[C@]13C#N
25,C[C@H]1C[C@@]2(C)N[C@H]2C=C1
26,N[C@@H](C#N)C1COC1
27,NC(=O)c1c(O)nc[nH]1
28,CO[C@H]1[C@H]2[C@@H]([C@H]1O)N2C
29,O=CC[C@@H](CC#C)C#N
30,CC1=CC(=O)[C@H]2C[C@H]2N1
31,C[C@H]1N[C@@H](CC=C1)C#N
32,C[C@H]1NC1(C#N)C#N
33,C[C@H]1C[C@]21OCC(=C2)C
34,NC(=O)N1[C@H]2[C@H]3O[C@H]3[C@@H]12
35,CC(C)(CO)CC1CC1
36,OCCC=O
37,C[C@@](O)(C#N)[C@@H](O)C=O
38,CC[C@@H](C#N)N(C)CC
39,O[C@H]1C[C@H]1c1cnc[nH]1
40,NC(=N)n1nnnn1
41,C1COc2nonc2O1
42,CC(C)N1C[C@]1(C)C#C
43,C#CC[C@H]1O[C@H]1CC#C
44,Cn1ccn2cnnc12
45,CC1=C(C)[C@@H](O)[C@H]2N[C@@H]12
