homo,index,lumo
-0.3877,1,0.1171
-0.257,2,0.0829
-0.2928,3,0.0687
-0.2845,4,0.0506
-0.3604,5,0.0191
-0.267,6,-0.0406
-0.3385,7,0.1041
-0.2653,8,0.0784
-0.2609,9,0.0613
-0.3264,10,0.0376
-0.254,11,-0.0198
-0.2543,12,0.0302
-0.323,13,0.0949
-0.2619,14,0.0798
-0.2525,15,0.091
-0.2888,16,0.1042
-0.2682,17,0.1042
-0.2431,18,-0.0087
-0.2436,19,0.0347
-0.2495,20,0.0556
-0.3167,21,0.0843
-0.2612,22,0.074
-0.2599,23,-0.0214
-0.3102,24,-0.0543
-0.3696,25,-0.0926
-0.2777,26,-0.0735
-0.3166,27,-0.11
-0.2668,28,-0.1113
-0.2412,29,0.0684
-0.2592,30,0.0566
-0.3213,31,0.034
-0.2683,32,0.0173
-0.2595,33,0.0277
-0.3018,34,0.0022
-0.25,35,-0.0205
-0.2516,36,0.0335
-0.2814,37,0.0074
-0.2537,38,-0.0341
-0.317,39,0.0937
-0.2619,40,0.081
-0.2503,41,0.0925
-0.2594,42,0.0584
-0.2727,43,0.1012
-0.2633,44,0.1052
-0.2304,45,0.0968
-0.239,46,0.0775
-0.2982,47,0.0956
-0.2424,48,0.0859
-0.2392,49,0.0192
-0.2029,50,0.0499
-0.2253,51,0.0332
-0.2246,52,0.0199
-0.2509,53,0.001
-0.3145,54,0.0737
-0.2601,55,0.0664
-0.2654,56,-0.0575
-0.3007,57,-0.0889
-0.2629,59,-0.0277
-0.2538,60,-0.0964
-0.2533,62,-0.0763
-0.2589,63,0.0571
-0.318,64,0.0365
-0.2704,65,0.0278
-0.2665,66,0.0336
-0.3051,67,0.0115
-0.2469,68,-0.0188
-0.255,69,-0.0279
-0.2424,70,0.0327
-0.2699,71,-0.0262
-0.2423,72,-0.0072
-0.2438,73,0.0355
-0.2418,74,0.0387
-0.2436,75,0.0599
-0.2595,76,0.0352
-0.2685,77,0.0174
-0.2669,78,0.0575
-0.246,79,0.0273
-0.2629,81,0.0789
-0.2597,82,0.0631
-0.3085,83,0.085
-0.2617,84,0.0733
-0.2476,85,0.086
-0.2633,86,0.0893
-0.2596,87,0.091
-0.2494,88,0.0776
-0.263,89,0.0277
-0.2415,90,-0.0194
-0.25,91,0.038
-0.2788,92,0.0089
-0.2437,93,-0.0258
-0.2647,94,-0.0352
-0.2896,95,0.0927
-0.241,96,0.0915
-0.2419,97,0.0814
-0.256,98,0.0801
-0.2465,99,0.0604
-0.2632,100,0.094
-0.2518,101,0.0822
-0.2199,102,0.0931
-0.2573,103,0.0984
-0.2369,104,0.0642
-0.2974,105,0.1082
-0.2352,106,0.0994
-0.2633,107,0.0345
-0.2911,108,0.0111
-0.3494,109,-0.0151
-0.2583,110,-0.0337
-0.2868,111,-0.0568
-0.2491,112,-0.0216
-0.2934,113,-0.0298
-0.2608,114,-0.0416
-0.242,115,-0.0085
-0.2871,116,-0.0377
-0.2642,117,-0.0592
-0.2421,118,0.0368
-0.2401,119,0.0631
-0.2481,120,0.0251
-0.2586,121,0.0583
-0.3185,122,0.0365
-0.249,123,0.0208
-0.2565,124,0.0324
-0.2859,125,0.008
-0.2624,126,0.0549
-0.2914,127,0.0323
-0.2487,128,-0.0195
-0.2499,129,0.0335
-0.2778,130,0.0091
-0.2577,131,-0.0282
-0.2536,132,-0.0285
-0.3105,133,0.0925
-0.2615,134,0.0813
-0.25,135,0.0926
-0.2483,136,0.0931
-0.261,137,0.0821
-0.2607,138,0.0779
-0.2425,139,0.0503
-0.2422,140,0.0322
-0.265,141,0.0189
-0.2931,142,0.0289
-0.2775,143,0.0076
-0.3077,144,-0.0072
-0.2486,145,-0.0157
-0.2639,146,-0.0381
-0.2636,147,-0.0418
-0.2555,148,-0.0013
-0.2723,149,0.0986
-0.2623,150,0.0976
-0.2299,151,0.095
-0.244,152,0.0955
-0.2601,153,0.079
-0.2436,154,0.0677
-0.2641,155,0.0777
-0.2335,156,0.0325
-0.2479,157,0.0241
-0.2303,158,0.0188
-0.2479,160,0.0825
-0.2572,161,0.0865
-0.2519,162,0.0987
-0.2337,163,0.0853
-0.2517,164,0.0951
-0.2438,165,0.0239
-0.2641,166,-0.0023
-0.2705,167,0.0059
-0.2551,168,0.0164
-0.2742,169,-0.0055
-0.2677,170,-0.0138
-0.2862,171,-0.044
-0.3054,172,-0.0335
-0.2889,173,-0.0178
-0.331,174,-0.0643
-0.3213,175,-0.0515
-0.3379,176,-0.0815
-0.3671,177,-0.1073
-0.2383,178,-0.0315
-0.2502,179,0.0066
-0.239,180,0.0173
-0.23,182,0.0026
-0.2498,183,-0.0046
-0.4286,184,0.1935
-0.1951,187,0.0406
-0.2215,188,0.0207
-0.253,189,0.0027
-0.1934,190,0.0496
-0.2124,191,0.0239
-0.2364,192,0.0066
-0.2371,193,0.0082
-0.185,194,0.0556
-0.1844,195,0.0397
-0.2049,196,0.0202
-0.2088,197,0.0284
-0.1814,198,0.0635
-0.2022,199,0.0448
-0.2051,200,0.0505
-0.1982,201,0.0533
-0.2157,202,0.0376
-0.2183,203,0.025
-0.2395,204,0.0074
-0.1741,205,0.0558
-0.1849,206,0.0391
-0.1947,207,0.029
-0.2057,208,0.0107
-0.1864,209,0.05
-0.2006,210,0.0315
-0.2242,211,0.001
-0.2006,212,0.0463
-0.2216,213,0.0324
-0.2475,214,0.0029
-0.2518,215,-0.0225
-0.2493,216,-0.0511
-0.2531,217,-0.0415
-0.2768,218,-0.0554
-0.2585,219,0.0629
-0.3156,220,0.0438
-0.2675,221,0.0349
-0.2589,222,0.0425
-0.2931,223,0.0216
-0.247,224,-0.0179
-0.2523,225,-0.0258
-0.2638,226,0.0725
-0.2619,227,0.0727
-0.3031,228,0.0748
-0.2601,229,0.0658
-0.2455,230,0.079
-0.2532,231,-0.0449
-0.2502,232,-0.016
-0.2404,233,0.0633
-0.2492,234,0.0416
-0.246,235,-0.0185
-0.274,236,-0.037
-0.2498,237,0.0244
-0.2741,238,0.0051
-0.2611,239,-0.0177
-0.2723,240,-0.0251
-0.2505,241,-0.0381
-0.2397,242,-0.0114
-0.2511,243,-0.0298
-0.2768,244,-0.0235
-0.2502,246,-0.0278
-0.2443,247,0.0042
-0.2548,248,-0.0128
-0.2743,249,0.0024
-0.259,250,0.0553
-0.3161,251,0.0346
-0.2622,252,0.0545
-0.2866,253,0.0348
-0.2371,254,0.0217
-0.2481,255,-0.0197
-0.2484,256,0.0348
-0.2748,257,0.0115
-0.2437,258,-0.0204
-0.2267,259,-0.0252
-0.2458,260,-0.0111
-0.2415,261,-0.0071
-0.243,262,0.0359
-0.2402,263,0.0381
-0.2427,264,0.0598
-0.2654,265,0.0196
-0.2644,266,0.0591
-0.2449,268,-0.0102
-0.2464,269,0.0274
-0.2471,270,0.0327
-0.167,271,-0.0333
-0.2613,272,0.0807
-0.2583,273,0.0719
-0.3042,274,0.0859
-0.2613,275,0.0739
-0.2458,276,0.0875
-0.2508,277,0.0876
-0.2581,278,0.0777
-0.2408,279,-0.0826
-0.2416,281,-0.0632
-0.2349,282,-0.0376
-0.2422,283,-0.0321
-0.2389,284,-0.0081
-0.2409,285,0.0371
-0.263,287,-0.0258
-0.26,288,0.0186
-0.2342,289,0.0354
-0.2306,290,0.0604
-0.3016,291,0.0822
-0.2613,292,0.0684
-0.2564,293,0.0643
-0.2837,294,0.0812
-0.2392,295,0.0812
-0.2425,296,0.0728
-0.2526,297,0.0743
-0.246,298,0.0616
-0.2497,299,0.083
-0.2427,300,0.0794
-0.2558,301,0.0887
-0.2458,302,0.0798
-0.2545,303,0.0923
-0.219,304,0.0873
-0.2598,305,0.0305
-0.2394,306,-0.0163
-0.2465,307,0.0387
-0.2737,308,0.0124
-0.2304,309,-0.0233
-0.242,310,-0.0206
-0.2832,311,0.0906
-0.2399,312,0.0942
-0.253,313,0.0788
-0.2196,314,0.0838
-0.2525,315,0.0691
-0.2934,316,0.0984
-0.2307,317,0.1012
-0.2257,318,0.0834
-0.2587,319,0.0809
-0.2445,320,0.0682
-0.28,321,-0.0898
-0.3156,322,-0.121
-0.3538,323,-0.1562
-0.2672,324,-0.1181
-0.2978,325,-0.1503
-0.2606,326,-0.1455
-0.2622,327,0.034
-0.2879,328,0.0116
-0.3433,329,-0.0129
-0.2798,330,-0.003
-0.3037,331,-0.0279
-0.2708,332,0.0039
-0.3019,333,-0.0199
-0.3463,334,-0.0464
-0.2536,335,-0.0324
-0.2801,336,-0.0545
-0.2709,337,-0.0493
-0.3073,338,-0.0733
-0.2559,339,-0.0573
-0.2595,340,-0.0171
-0.2725,341,-0.0352
-0.2649,342,-0.0663
-0.2622,343,-0.0399
-0.2476,344,-0.0605
-0.264,345,-0.0552
-0.2976,346,-0.0854
-0.2527,347,-0.0407
-0.2591,348,-0.0243
-0.2806,349,-0.0424
-0.3197,350,-0.0717
-0.2661,351,-0.0573
-0.3004,352,-0.0881
-0.2515,353,-0.0944
-0.2388,354,-0.0681
-0.2505,355,-0.0726
-0.2683,356,-0.0862
-0.2516,357,-0.0953
-0.2412,358,-0.0057
-0.2429,359,-0.0073
-0.2422,360,0.0378
-0.268,361,0.0192
-0.2433,362,0.0274
-0.2383,363,0.067
-0.2496,364,0.0662
-0.2466,365,0.015
-0.2705,366,0.0032
-0.2447,367,-0.01
-0.2613,369,0.0553
-0.2896,370,0.035
-0.2575,371,0.0581
-0.3144,372,0.0383
-0.2695,373,0.0286
-0.2649,374,0.0332
-0.3028,375,0.0117
-0.2424,376,0.0288
-0.2538,377,0.0395
-0.2865,378,0.0177
-0.2619,379,0.0215
-0.2534,380,0.0266
-0.2549,381,0.0078
-0.2624,382,0.0188
-0.2878,383,-0.0038
-0.2523,384,-0.0219
-0.2451,385,-0.0181
-0.2736,386,-0.0372
-0.2407,387,0.0328
-0.2545,388,-0.0276
-0.2662,389,-0.0476
